Energy,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11
0.000000,1,0,0,0,0,0,0,0,0,0,0
0.793374,5,0,0,0,0,0,0,1,0,0,0
16.172990,6,0,0,0,0,0,0,0,1,1,0
16.963353,3,0,0,0,0,0,0,1,1,1,0
19.889855,2,0,0,0,0,0,0,0,1,0,1
44.796003,3,0,0,0,0,0,0,0,2,2,0
45.587321,6,0,0,0,0,0,0,1,2,2,0
55.938746,6,0,0,0,0,0,0,0,2,1,0
56.709213,3,0,0,0,0,0,0,1,2,1,0
60.412990,5,0,0,0,0,0,0,1,2,0,0
85.861619,5,0,0,0,0,0,0,0,3,3,0
86.657828,2,0,0,0,0,0,0,1,3,3,1
104.422089,3,0,0,0,0,0,0,0,3,2,0
105.183704,6,0,0,0,0,0,0,1,3,2,0
115.536619,6,0,0,0,0,0,0,0,3,1,0
116.278278,3,0,0,0,0,0,0,1,3,1,0
119.237910,2,0,0,0,0,0,0,0,3,0,1
139.357988,3,0,0,0,0,0,0,0,4,4,0
140.163194,6,0,0,0,0,0,0,1,4,4,0
165.331117,5,0,0,0,0,0,0,0,4,3,0
166.087914,2,0,0,0,0,0,0,1,4,3,1
183.829062,3,0,0,0,0,0,0,0,4,2,0
184.553048,6,0,0,0,0,0,0,1,4,2,0
194.906313,6,0,0,0,0,0,0,0,4,1,0
195.611318,3,0,0,0,0,0,0,1,4,1,0
199.293919,5,0,0,0,0,0,0,1,4,0,0
205.269242,6,0,0,0,0,0,0,0,5,5,0
206.087616,3,0,0,0,0,0,0,1,5,5,0
238.652598,3,0,0,0,0,0,0,0,5,4,0
239.408199,6,0,0,0,0,0,0,1,5,4,0
264.516654,5,0,0,0,0,0,0,0,5,3,0
265.226656,2,0,0,0,0,0,0,1,5,3,1
282.937196,3,0,0,0,0,0,0,0,5,2,0
283.574603,2,0,0,0,0,0,0,0,6,6,1
283.616675,6,0,0,0,0,0,0,1,5,2,0
284.410256,5,0,0,0,0,0,0,1,6,6,0
293.968316,6,0,0,0,0,0,0,0,5,1,0
294.630015,3,0,0,0,0,0,0,1,5,1,0
297.641820,2,0,0,0,0,0,0,0,5,0,1
324.369125,6,0,0,0,0,0,0,0,6,5,0
325.127353,3,0,0,0,0,0,0,1,6,5,0
357.584268,3,0,0,0,0,0,0,0,6,4,0
